"","crate_id","name.x","status","name.y","updated_at","created_at","downloads","repository","version"
"1",39,"libz-sys","passed","libz-sys",2022-05-28 05:18:05,2014-11-11 06:38:26,23892829,"https://github.com/rust-lang/libz-sys","1.1.8"
"2",41,"openssl-sys","passed","openssl-sys",2022-10-22 13:31:15,2014-11-11 06:38:37,46261124,"https://github.com/sfackler/rust-openssl","0.9.77"
"3",538,"curl-sys","passed","curl-sys",2022-10-27 03:00:42,2014-12-12 20:33:25,10145018,"https://github.com/alexcrichton/curl-rust","0.4.58+curl-7.86.0"
"4",602,"magic-sys","passed","magic-sys",2022-08-18 17:56:53,2014-12-19 14:39:39,39281,"https://github.com/robo9k/rust-magic-sys.git","0.3.0"
"5",694,"allegro-sys","check-failed","allegro-sys",2022-08-23 08:47:31,2015-01-04 02:11:11,34921,"https://github.com/SiegeLord/RustAllegro","0.0.44"
"6",695,"allegro_image-sys","passed","allegro_image-sys",2022-08-23 08:47:34,2015-01-04 02:11:15,20981,"https://github.com/SiegeLord/RustAllegro","0.0.44"
"7",697,"allegro_acodec-sys","passed","allegro_acodec-sys",2022-08-23 08:47:47,2015-01-04 02:11:23,20375,"https://github.com/SiegeLord/RustAllegro","0.0.44"
"8",698,"allegro_dialog-sys","check-failed","allegro_dialog-sys",2022-08-23 08:47:50,2015-01-04 02:11:28,19725,"https://github.com/SiegeLord/RustAllegro","0.0.44"
"9",699,"allegro_primitives-sys","check-failed","allegro_primitives-sys",2022-08-23 08:47:54,2015-01-04 02:11:32,20650,"https://github.com/SiegeLord/RustAllegro","0.0.44"
"10",700,"allegro_font-sys","check-failed","allegro_font-sys",2022-08-23 08:47:56,2015-01-04 02:11:36,23148,"https://github.com/SiegeLord/RustAllegro","0.0.44"
"11",701,"allegro_ttf-sys","check-failed","allegro_ttf-sys",2022-08-23 08:48:11,2015-01-04 02:11:42,21388,"https://github.com/SiegeLord/RustAllegro","0.0.44"
"12",714,"sdl2-sys","passed","sdl2-sys",2022-02-06 18:14:23,2015-01-05 10:46:49,914829,"https://github.com/rust-sdl2/rust-sdl2","0.35.2"
"13",795,"libc","passed","libc",2022-10-25 23:09:06,2015-01-15 20:22:13,145177014,"https://github.com/rust-lang/libc","0.2.137"
