crate_id,name,updated_at,created_at,downloads,repository,version
39,libz-sys,2022-05-28 05:18:05.172237,2014-11-11 06:38:26.586055,23892829,https://github.com/rust-lang/libz-sys,1.1.8
41,openssl-sys,2022-10-22 13:31:15.168899,2014-11-11 06:38:37.917011,46261124,https://github.com/sfackler/rust-openssl,0.9.77
251,bindgen,2022-10-16 19:54:05.549855,2014-11-21 10:14:40.304798,19262316,https://github.com/rust-lang/rust-bindgen,0.61.0
538,curl-sys,2022-10-27 03:00:42.535287,2014-12-12 20:33:25.230500,10145018,https://github.com/alexcrichton/curl-rust,0.4.58+curl-7.86.0
602,magic-sys,2022-08-18 17:56:53.516418,2014-12-19 14:39:39.547460,39281,https://github.com/robo9k/rust-magic-sys.git,0.3.0
694,allegro-sys,2022-08-23 08:47:31.842098,2015-01-04 02:11:11.501829,34921,https://github.com/SiegeLord/RustAllegro,0.0.44
695,allegro_image-sys,2022-08-23 08:47:34.538210,2015-01-04 02:11:15.378766,20981,https://github.com/SiegeLord/RustAllegro,0.0.44
697,allegro_acodec-sys,2022-08-23 08:47:47.776864,2015-01-04 02:11:23.618650,20375,https://github.com/SiegeLord/RustAllegro,0.0.44
698,allegro_dialog-sys,2022-08-23 08:47:50.947670,2015-01-04 02:11:28.220674,19725,https://github.com/SiegeLord/RustAllegro,0.0.44
699,allegro_primitives-sys,2022-08-23 08:47:54.283713,2015-01-04 02:11:32.707611,20650,https://github.com/SiegeLord/RustAllegro,0.0.44
700,allegro_font-sys,2022-08-23 08:47:56.592420,2015-01-04 02:11:36.903594,23148,https://github.com/SiegeLord/RustAllegro,0.0.44
701,allegro_ttf-sys,2022-08-23 08:48:11.643512,2015-01-04 02:11:42.128859,21388,https://github.com/SiegeLord/RustAllegro,0.0.44
714,sdl2-sys,2022-02-06 18:14:23.288532,2015-01-05 10:46:49.950730,914829,https://github.com/rust-sdl2/rust-sdl2,0.35.2
795,libc,2022-10-25 23:09:06.123869,2015-01-15 20:22:13.100871,145177014,https://github.com/rust-lang/libc,0.2.137
867,mozjpeg-sys,2022-08-18 14:10:48.248913,2015-01-24 17:21:00.232868,196114,https://github.com/kornelski/mozjpeg-sys.git,1.0.3
