"","crate_id","name.x","status","name.y","updated_at","created_at","downloads","repository","version"
"1",795,"libc","passed","libc",2022-10-25 23:09:06,2015-01-15 20:22:13,145177014,"https://github.com/rust-lang/libc","0.2.137"
"2",41,"openssl-sys","passed","openssl-sys",2022-10-22 13:31:15,2014-11-11 06:38:37,46261124,"https://github.com/sfackler/rust-openssl","0.9.77"
"3",39,"libz-sys","passed","libz-sys",2022-05-28 05:18:05,2014-11-11 06:38:26,23892829,"https://github.com/rust-lang/libz-sys","1.1.8"
"4",3519,"security-framework-sys","passed","security-framework-sys",2022-02-05 03:49:31,2015-11-27 22:16:51,17029943,"https://github.com/kornelski/rust-security-framework","2.6.1"
"5",538,"curl-sys","passed","curl-sys",2022-10-27 03:00:42,2014-12-12 20:33:25,10145018,"https://github.com/alexcrichton/curl-rust","0.4.58+curl-7.86.0"
"6",1460,"libsqlite3-sys","passed","libsqlite3-sys",2022-10-27 02:40:16,2015-02-24 02:54:21,8512888,"https://github.com/rusqlite/rusqlite","0.25.2"
"7",10418,"cbindgen","passed","cbindgen",2022-06-09 20:39:00,2017-04-12 15:57:46,3921748,"https://github.com/eqrion/cbindgen/","0.24.3"
"8",4507,"lzma-sys","passed","lzma-sys",2022-06-06 17:08:25,2016-03-21 08:35:36,3793565,"https://github.com/alexcrichton/xz2-rs","0.1.19"
"9",3892,"onig_sys","passed","onig_sys",2022-08-09 06:34:18,2016-01-13 19:01:01,2482474,"http://github.com/iwillspeak/rust-onig","69.8.1"
"10",7371,"rdkafka-sys","passed","rdkafka-sys",2022-10-29 16:32:11,2016-11-26 16:31:48,2138791,"https://github.com/fede1024/rust-rdkafka","4.3.0+1.9.2"
"11",714,"sdl2-sys","passed","sdl2-sys",2022-02-06 18:14:23,2015-01-05 10:46:49,914829,"https://github.com/rust-sdl2/rust-sdl2","0.35.2"
"12",2869,"llvm-sys","check-failed","llvm-sys",2022-10-08 02:03:16,2015-08-18 18:07:20,697752,"https://gitlab.com/taricorp/llvm-sys.rs","150.0.3"
"13",225979,"sasl2-sys","passed","sasl2-sys",2022-05-26 23:47:10,2020-04-03 17:14:45,643248,"https://github.com/MaterializeInc/rust-sasl","0.1.20+2.1.28"
"14",24949,"grpcio-sys","passed","grpcio-sys",2022-06-28 17:20:57,2017-07-25 03:45:45,600871,"https://github.com/tikv/grpc-rs","0.10.3+1.44.0-patched"
"15",109041,"vswhom-sys","passed","vswhom-sys",2022-02-15 18:05:07,2019-01-16 23:26:46,538227,"https://github.com/nabijaczleweli/vswhom-sys.rs","0.1.1"
"16",2005,"python3-sys","passed","python3-sys",2022-10-25 18:44:51,2015-05-02 22:39:10,439825,"https://github.com/dgrunwald/rust-cpython/tree/master/python3-sys","0.7.1"
"17",111268,"lmdb-rkv-sys","passed","lmdb-rkv-sys",2022-02-04 21:57:31,2019-01-29 01:06:17,426630,"https://github.com/mozilla/lmdb-rs.git","0.11.2"
"18",7211,"capstone-sys","passed","capstone-sys",2022-05-02 06:34:18,2016-11-12 06:38:49,415000,"https://github.com/capstone-rust/capstone-rs/tree/master/capstone-sys","0.15.0"
"19",2972,"imgui-sys","passed","imgui-sys",2021-12-26 20:36:37,2015-08-31 18:25:42,394233,"https://github.com/imgui-rs/imgui-rs","0.8.2"
"20",196371,"oboe-sys","check-failed","oboe-sys",2022-01-11 14:55:41,2020-01-07 22:06:54,377143,"https://github.com/katyo/oboe-rs","0.4.5"
"21",49140,"system-configuration-sys","passed","system-configuration-sys",2022-01-04 08:44:09,2018-02-01 12:06:02,301724,"https://github.com/mullvad/system-configuration-rs","0.5.0"
"22",7907,"gmp-mpfr-sys","passed","gmp-mpfr-sys",2022-08-06 19:53:29,2017-01-03 22:25:26,243683,"https://gitlab.com/tspiteri/gmp-mpfr-sys","1.4.10"
"23",867,"mozjpeg-sys","passed","mozjpeg-sys",2022-08-18 14:10:48,2015-01-24 17:21:00,196114,"https://github.com/kornelski/mozjpeg-sys.git","1.0.3"
"24",177380,"rpmalloc-sys","passed","rpmalloc-sys",2022-04-15 12:58:52,2019-11-01 14:52:13,177181,"https://github.com/EmbarkStudios/rpmalloc-rs","0.2.3+b097fd0"
"25",232265,"windows-dll","check-failed","windows-dll",2022-06-23 18:42:01,2020-04-20 16:47:21,171915,"https://github.com/thisKai/rust-windows-dll","0.4.1"
"26",9055,"odbc-sys","passed","odbc-sys",2022-02-04 08:21:49,2017-03-19 22:34:05,166539,"https://github.com/pacman82/odbc-sys","0.21.2"
"27",2241,"sqlite3-sys","passed","sqlite3-sys",2022-07-31 14:31:16,2015-05-28 19:20:24,157285,"https://github.com/stainless-steel/sqlite3-sys","0.14.0"
"28",67740,"yara-sys","check-failed","yara-sys",2022-09-01 13:11:48,2018-05-30 09:39:48,131316,"https://github.com/Hugal31/yara-rust","0.16.0"
"29",244308,"fastly-sys","passed","fastly-sys",2022-10-20 18:04:38,2020-05-21 21:00:06,124335,NA,"0.8.9"
"30",38425,"unwind-sys","check-failed","unwind-sys",2022-02-26 14:15:55,2017-11-07 06:13:05,112405,"https://github.com/sfackler/rstack","0.1.3"
"31",85545,"nftnl-sys","check-failed","nftnl-sys",2022-02-11 14:20:34,2018-09-19 19:28:42,98509,"https://github.com/mullvad/nftnl-rs","0.6.1"
"32",4053,"libftdi1-sys","passed","libftdi1-sys",2022-02-13 13:01:40,2016-02-02 00:13:08,96849,"https://github.com/tanriol/libftdi1-sys","1.1.2"
"33",82022,"mnl-sys","passed","mnl-sys",2022-02-11 10:34:33,2018-08-29 21:01:16,91507,"https://github.com/mullvad/mnl-rs","0.2.1"
"34",118162,"torch-sys","check-failed","torch-sys",2022-07-04 09:05:03,2019-03-02 16:46:29,88256,"https://github.com/LaurentMazare/tch-rs","0.8.0"
"35",5664,"lcms2-sys","passed","lcms2-sys",2022-09-22 01:23:42,2016-07-14 09:43:11,85980,"https://github.com/kornelski/rust-lcms2-sys.git","4.0.0"
"36",563273,"ittapi-sys","passed","ittapi-sys",2022-04-12 18:31:36,2022-04-06 18:45:51,84034,"https://github.com/intel/ittapi","0.3.1"
"37",482241,"mach2","passed","mach2",2022-06-07 13:42:29,2021-11-15 16:48:14,81080,"https://github.com/JohnTitor/mach2","0.4.1"
