crate_id, name, status
39,libz-sys,passed
41,openssl-sys,passed
251,bindgen,noabi
538,curl-sys,passed
602,magic-sys,passed
694,allegro-sys,check-failed
695,allegro_image-sys,passed
697,allegro_acodec-sys,passed
698,allegro_dialog-sys,check-failed
699,allegro_primitives-sys,check-failed
700,allegro_font-sys,check-failed
701,allegro_ttf-sys,check-failed
714,sdl2-sys,passed
795,libc,passed
867,mozjpeg-sys,passed
1460,libsqlite3-sys,passed
1508,gexiv2-sys,check-failed
1702,pam-sys,noabi
2005,python3-sys,passed
2241,sqlite3-sys,passed
2621,c-ares-sys,passed
2646,webm-sys,passed
2869,llvm-sys,check-failed
2972,imgui-sys,passed
3150,wayland-sys,noabi
3519,security-framework-sys,passed
3706,mongoc-sys,check-failed
3892,onig_sys,passed
4053,libftdi1-sys,passed
4247,allegro_color-sys,check-failed
4507,lzma-sys,passed
5181,fitsio,noabi
5477,lldb-sys,check-failed
5664,lcms2-sys,passed
6057,gbm,noabi
7202,nautilus-extension-sys,check-failed
7211,capstone-sys,passed
7241,librocksdb-sys,noabi
7371,rdkafka-sys,passed
7559,coremidi-sys,passed
7688,fitsio-sys-bindgen,noabi
7907,gmp-mpfr-sys,passed
8323,blkid-sys,noabi
8677,tesseract-sys,noabi
8708,libappindicator-sys,noabi
9055,odbc-sys,passed
10418,cbindgen,passed
10606,input-sys,check-failed
10608,input,noabi
13761,pcan-basic-sys,passed
14946,nvml-wrapper-sys,noabi
21193,cassandra-cpp-sys,noabi
21196,cassandra-cpp,noabi
24949,grpcio-sys,passed
31361,gbm-sys,check-failed
33092,pwd,noabi
37926,xen-sys,noabi
38157,openmp-sys,passed
38425,unwind-sys,check-failed
38485,libstrophe-sys-bindgen,passed
38926,opencl-sys,passed
41114,nettle-sys,noabi
48019,cfasttext-sys,passed
48020,fasttext,noabi
48806,vapoursynth-sys,passed
48821,faiss-sys,passed
49140,system-configuration-sys,passed
52648,mpi-sys,noabi
55020,vapoursynth,noabi
57887,keyvi,noabi
58764,geos,noabi
63591,gaviota-sys,noabi
66234,nitrokey-sys,passed
67740,yara-sys,check-failed
71162,libnfs-sys,noabi
82022,mnl-sys,passed
83217,libnfs,noabi
84153,ntapi,noabi
85545,nftnl-sys,check-failed
88263,sys-mount,noabi
88840,newt-sys,passed
90899,opencc-rust,check-failed
93770,zbar-rust,check-failed
97382,libthemis-sys,check-failed
98750,riot-sys,check-failed
102283,allegro_memfile-sys,check-failed
109041,vswhom-sys,passed
109858,libevent-sys,noabi
110351,raylib-sys,passed
111268,lmdb-rkv-sys,passed
114270,zfp-sys,noabi
118162,torch-sys,check-failed
118751,kpathsea_sys,check-failed
122405,openxr-sys,passed
126347,statx-sys,noabi
126961,fermium,check-failed
127436,geos-sys,passed
130149,hunspell-sys,noabi
132413,nodejs-sys,noabi
132820,boolector-sys,passed
134765,ostree-sys,check-failed
139842,env-libvpx-sys,check-failed
145269,ncursesw,check-failed
151702,nc,noabi
154244,skia-bindings,noabi
156048,libzetta,check-failed
156145,physx-sys,passed
158031,clipper-sys,passed
160664,webp,noabi
163045,rustler_sys,noabi
